pageid,title,lastrevid,talkid,city,state,score_pred
104713,"Coffee Springs, Alabama",1166018326,248280.0,Coffee Springs,Alabama,Start
104569,"Coffeeville, Alabama",1166029689,281095.0,Coffeeville,Alabama,C
105163,"Coker, Alabama",1166018360,281493.0,Coker,Alabama,Start
104552,"Collinsville, Alabama",1177947751,281078.0,Collinsville,Alabama,C
104620,"Colony, Alabama",1166018463,281148.0,Colony,Alabama,GA
104736,"Columbia, Alabama",1166018475,281250.0,Columbia,Alabama,C
105112,"Columbiana, Alabama",1151357569,281447.0,Columbiana,Alabama,C
104676,"Coosada, Alabama",1172561590,281191.0,Coosada,Alabama,C
105169,"Cordova, Alabama",1165645181,281499.0,Cordova,Alabama,GA
104737,"Cottonwood, Alabama",1096812941,281251.0,Cottonwood,Alabama,C
101154,"County Line, Alabama",1166018950,281035.0,County Line,Alabama,Start
104839,"Courtland, Alabama",1157580326,281335.0,Courtland,Alabama,GA
104738,"Cowarts, Alabama",1166019003,281252.0,Cowarts,Alabama,C
104908,"Creola, Alabama",1139764613,281398.0,Creola,Alabama,GA
104660,"Crossville, Alabama",1166066155,281175.0,Crossville,Alabama,C
105135,"Cuba, Alabama",1175879685,281467.0,Cuba,Alabama,C
104621,"Cullman, Alabama",1177009324,281149.0,Cullman,Alabama,B
7960910,"Cusseta, Alabama",1172824345,11811853.0,Cusseta,Alabama,Start
105155,"Dadeville, Alabama",1158607851,281486.0,Dadeville,Alabama,C
104632,"Daleville, Alabama",1154496305,281161.0,Daleville,Alabama,GA
99887,"Daphne, Alabama",1165646156,281007.0,Daphne,Alabama,FA
104909,"Dauphin Island, Alabama",1174226588,281399.0,Dauphin Island,Alabama,B
105156,"Daviston, Alabama",1166066473,281487.0,Daviston,Alabama,C
104882,"Dayton, Alabama",1166066487,281376.0,Dayton,Alabama,C
104677,"Deatsville, Alabama",1166066515,281192.0,Deatsville,Alabama,C
104852,"Decatur, Alabama",1178063438,281350.0,Decatur,Alabama,C
104883,"Demopolis, Alabama",1161394946,281377.0,Demopolis,Alabama,B
104822,"Detroit, Alabama",1166066756,281321.0,Detroit,Alabama,Start
104622,"Dodge City, Alabama",1166066982,281150.0,Dodge City,Alabama,Start
105170,"Dora, Alabama",1165647022,281500.0,Dora,Alabama,C
104633,"Dothan, Alabama",1179231968,281162.0,Dothan,Alabama,B
105190,"Double Springs, Alabama",1159024876,281519.0,Double Springs,Alabama,C
104900,"Douglas, Alabama",1166067023,281391.0,Douglas,Alabama,GA
104610,"Dozier, Alabama",1096813187,281137.0,Dozier,Alabama,Start
104747,"Dutton, Alabama",1166067175,281259.0,Dutton,Alabama,C
104684,"East Brewton, Alabama",1165647609,281199.0,East Brewton,Alabama,C
104678,"Eclectic, Alabama",1145048302,281193.0,Eclectic,Alabama,C
104576,"Edwardsville, Alabama",1166067508,281102.0,Edwardsville,Alabama,C
104580,"Elba, Alabama",1163400900,281106.0,Elba,Alabama,C
99888,"Elberta, Alabama",1175895043,281008.0,Elberta,Alabama,C
105171,"Eldridge, Alabama",1178177223,281501.0,Eldridge,Alabama,Start
104853,"Elkmont, Alabama",1176555126,281351.0,Elkmont,Alabama,C
104679,"Elmore, Alabama",1166067658,281194.0,Elmore,Alabama,C
105136,"Emelle, Alabama",1158753175,281468.0,Emelle,Alabama,C
104581,"Enterprise, Alabama",1160273773,281107.0,Enterprise,Alabama,C
105137,"Epes, Alabama",1166067751,281469.0,Epes,Alabama,C
105088,"Ethelsville, Alabama",1166067848,281426.0,Ethelsville,Alabama,Start
100803,"Eufaula, Alabama",1160493671,281023.0,Eufaula,Alabama,GA
104723,"Eutaw, Alabama",1158611853,281237.0,Eutaw,Alabama,C
105078,"Eva, Alabama",1166067877,281415.0,Eva,Alabama,GA
104591,"Evergreen, Conecuh County, Alabama",1158611789,281117.0,Evergreen,Conecuh County,C
104924,"Excel, Alabama",1166067942,281409.0,Excel,Alabama,C
104777,"Fairfield, Alabama",1177239572,281286.0,Fairfield,Alabama,C
99889,"Fairhope, Alabama",1173963070,281009.0,Fairhope,Alabama,C
104623,"Fairview, Alabama",1166068021,281151.0,Fairview,Alabama,C
105079,"Falkville, Alabama",1166068054,281416.0,Falkville,Alabama,GA
104884,"Faunsdale, Alabama",1167428050,281378.0,Faunsdale,Alabama,GA
104703,"Fayette, Alabama",1142947111,281218.0,Fayette,Alabama,C
104544,"Five Points, Alabama",1166068289,281070.0,Five Points,Alabama,C
104685,"Flomaton, Alabama",1166244039,281200.0,Flomaton,Alabama,C
104598,"Florala, Alabama",1166068321,281124.0,Florala,Alabama,C
104829,"Florence, Alabama",1178304592,281327.0,Florence,Alabama,C
99890,"Foley, Alabama",1166414056,281010.0,Foley,Alabama,C
104724,"Forkland, Alabama",1166068466,281238.0,Forkland,Alabama,C
104860,"Fort Deposit, Alabama",1177020476,281357.0,Fort Deposit,Alabama,C
104661,"Fort Payne, Alabama",1172551841,281176.0,Fort Payne,Alabama,GA
104867,"Franklin, Alabama",1166068620,281363.0,Franklin,Alabama,GA
104925,"Frisco City, Alabama",1166068863,281410.0,Frisco City,Alabama,C
104577,"Fruithurst, Alabama",1166068877,281103.0,Fruithurst,Alabama,Start
104570,"Fulton, Alabama",1166068885,281096.0,Fulton,Alabama,Start
104779,"Fultondale, Alabama",1165840932,281288.0,Fultondale,Alabama,C
104662,"Fyffe, Alabama",1160192215,281177.0,Fyffe,Alabama,C
104690,"Gadsden, Alabama",1177146243,281206.0,Gadsden,Alabama,C
105138,"Gainesville, Alabama",1166068936,281470.0,Gainesville,Alabama,C
104599,"Gantt, Alabama",1166068957,281125.0,Gantt,Alabama,Start
101155,"Garden City, Alabama",1166068968,281036.0,Garden City,Alabama,C
104780,"Gardendale, Alabama",1175530987,281289.0,Gardendale,Alabama,C
104553,"Gaylesville, Alabama",1166069113,281079.0,Gaylesville,Alabama,C
105139,"Geiger, Alabama",1166069121,281471.0,Geiger,Alabama,Start
104715,"Geneva, Alabama",1165747810,281230.0,Geneva,Alabama,C
101169,"Georgiana, Alabama",1178540000,281050.0,Georgiana,Alabama,Start
104663,"Geraldine, Alabama",1166069211,281178.0,Geraldine,Alabama,C
104562,"Gilbertown, Alabama",1166069407,281088.0,Gilbertown,Alabama,C
104704,"Glen Allen, Alabama",1166069457,281219.0,Glen Allen,Alabama,C
103736,"Glencoe, Alabama",1165748058,281057.0,Glencoe,Alabama,C
104611,"Glenwood, Alabama",1096814086,281138.0,Glenwood,Alabama,Start
105157,"Goldville, Alabama",1177535939,281488.0,Goldville,Alabama,Start
104625,"Good Hope, Alabama",1165748200,281152.0,Good Hope,Alabama,C
104593,"Goodwater, Alabama",1166069571,281119.0,Goodwater,Alabama,C
105089,"Gordo, Alabama",1176908359,281427.0,Gordo,Alabama,C
104739,"Gordon, Alabama",1166069580,281253.0,Gordon,Alabama,C
104862,"Gordonville, Alabama",1166069594,281358.0,Gordonville,Alabama,C
105099,"Goshen, Alabama",1166069601,281435.0,Goshen,Alabama,C
104901,"Grant, Alabama",1166069728,281392.0,Grant,Alabama,GA
104782,"Graysville, Alabama",1177622200,281292.0,Graysville,Alabama,C
104727,"Greensboro, Alabama",1172134373,281241.0,Greensboro,Alabama,C
101170,"Greenville, Alabama",1171417115,281051.0,Greenville,Alabama,C
104635,"Grimes, Alabama",1166180119,281164.0,Grimes,Alabama,Start
104571,"Grove Hill, Alabama",1144754911,281097.0,Grove Hill,Alabama,C
104895,"Guin, Alabama",1173001379,281386.0,Guin,Alabama,C
99891,"Gulf Shores, Alabama",1174473447,281011.0,Gulf Shores,Alabama,C
104902,"Guntersville, Alabama",1169878221,281393.0,Guntersville,Alabama,C
104870,"Gurley, Alabama",1173078483,281366.0,Gurley,Alabama,C
104705,"Gu-Win, Alabama",1175521277,281220.0,Gu-Win,Alabama,C
104896,"Hackleburg, Alabama",1167581471,281387.0,Hackleburg,Alabama,GA
104731,"Haleburg, Alabama",1166180281,281245.0,Haleburg,Alabama,C
104897,"Haleyville, Alabama",1168590141,281388.0,Haleyville,Alabama,GA
104898,"Hamilton, Alabama",1170634832,281389.0,Hamilton,Alabama,C
104664,"Hammondville, Alabama",1166180369,281179.0,Hammondville,Alabama,C
104626,"Hanceville, Alabama",1169612470,281153.0,Hanceville,Alabama,C
105113,"Harpersville, Alabama",1177953234,281448.0,Harpersville,Alabama,C
104716,"Hartford, Alabama",1165749307,281231.0,Hartford,Alabama,C
105080,"Hartselle, Alabama",1165749341,281417.0,Hartselle,Alabama,C
101156,"Hayden, Alabama",1166180747,281037.0,Hayden,Alabama,C
104863,"Hayneville, Alabama",1166180764,281359.0,Hayneville,Alabama,C
104732,"Headland, Alabama",1168369252,281246.0,Headland,Alabama,C
104600,"Heath, Alabama",1166180800,281126.0,Heath,Alabama,Start
104578,"Heflin, Alabama",1176321971,281104.0,Heflin,Alabama,C
104783,"Helena, Alabama",1177702091,281293.0,Helena,Alabama,C
104665,"Henagar, Alabama",1165749718,281180.0,Henagar,Alabama,C
101157,"Highland Lake, Alabama",1166180993,281038.0,Highland Lake,Alabama,Start
104840,"Hillsboro, Alabama",1166181055,281336.0,Hillsboro,Alabama,C
103737,"Hobson City, Alabama",1166181157,281058.0,Hobson City,Alabama,C
104707,"Hodges, Alabama",1166181162,281223.0,Hodges,Alabama,C
104691,"Hokes Bluff, Alabama",1165750177,281207.0,Hokes Bluff,Alabama,C
104627,"Holly Pond, Alabama",1166181271,281154.0,Holly Pond,Alabama,C
104748,"Hollywood, Alabama",1166181286,281261.0,Hollywood,Alabama,C
104785,"Homewood, Alabama",1177622299,281294.0,Homewood,Alabama,GA
104786,"Hoover, Alabama",1177622412,281295.0,Hoover,Alabama,C
104601,"Horn Hill, Alabama",1166181398,281127.0,Horn Hill,Alabama,Start
104787,"Hueytown, Alabama",1177622536,281296.0,Hueytown,Alabama,C
104854,"Huntsville, Alabama",1179363035,281352.0,Huntsville,Alabama,FA
105106,"Hurtsboro, Alabama",1096814754,281442.0,Hurtsboro,Alabama,C
104749,"Hytop, Alabama",1166181602,281262.0,Hytop,Alabama,Start
104666,"Ider, Alabama",1166181612,281181.0,Ider,Alabama,C
105114,"Indian Springs Village, Alabama",1166181665,281449.0,Indian Springs Village,Alabama,C
104788,"Irondale, Alabama",1169440818,281297.0,Irondale,Alabama,C
104572,"Jackson, Alabama",1165750992,281098.0,Jackson,Alabama,C
105158,"Jackson's Gap, Alabama",1166181798,281489.0,Jackson's Gap,Alabama,Start
103738,"Jacksonville, Alabama",1175988040,281059.0,Jacksonville,Alabama,C
105172,"Jasper, Alabama",1174380579,281502.0,Jasper,Alabama,C
104558,"Jemison, Alabama",1165751151,281084.0,Jemison,Alabama,C
105173,"Kansas, Alabama",1166182143,281503.0,Kansas,Alabama,Start
19008413,"Kellyton, Alabama",1166182186,29789393.0,Kellyton,Alabama,Stub
104823,"Kennedy, Alabama",1166182247,281322.0,Kennedy,Alabama,Start
104831,"Killen, Alabama",1166182386,281328.0,Killen,Alabama,C
104789,"Kimberly, Alabama",1177622633,281298.0,Kimberly,Alabama,C
104740,"Kinsey, Alabama",1166182487,281254.0,Kinsey,Alabama,C
104582,"Kinston, Alabama",1166182489,281108.0,Kinston,Alabama,C
104546,"LaFayette, Alabama",1165752571,281072.0,LaFayette,Alabama,C
105165,"Lake View, Alabama",1170831381,281495.0,Lake View,Alabama,C
104667,"Lakeview, Alabama",1166205391,281182.0,Lakeview,Alabama,Start
104547,"Lanett, Alabama",1165889187,281073.0,Lanett,Alabama,C
104750,"Langston, Alabama",1171521067,281263.0,Langston,Alabama,C
104793,"Leeds, Alabama",1179531175,281299.0,Leeds,Alabama,C
104554,"Leesburg, Alabama",1166205728,281080.0,Leesburg,Alabama,C
104585,"Leighton, Alabama",1148926606,281111.0,Leighton,Alabama,C
104855,"Lester, Alabama",1166205815,281353.0,Lester,Alabama,Start
104636,"Level Plains, Alabama",1165890044,281165.0,Level Plains,Alabama,Start
104832,"Lexington, Alabama",1166205880,281329.0,Lexington,Alabama,Start
104602,"Libertyville, Alabama",1166205930,281128.0,Libertyville,Alabama,Start
105145,"Lincoln, Alabama",1165890317,281476.0,Lincoln,Alabama,C
104886,"Linden, Alabama",1170891816,281379.0,Linden,Alabama,GA
104575,"Lineville, Alabama",1165890459,281101.0,Lineville,Alabama,GA
104794,"Lipscomb, Alabama",1177622747,281300.0,Lipscomb,Alabama,C
104563,"Lisman, Alabama",1166206088,281089.0,Lisman,Alabama,C
104586,"Littleville, Alabama",1166206172,281112.0,Littleville,Alabama,Start
105140,"Livingston, Alabama",1165891122,281472.0,Livingston,Alabama,C
104845,"Loachapoka, Alabama",1166206211,281343.0,Loachapoka,Alabama,C
104603,"Lockhart, Alabama",1166206220,281129.0,Lockhart,Alabama,C
101158,"Locust Fork, Alabama",1173287337,281039.0,Locust Fork,Alabama,C
100804,"Louisville, Alabama",1166206343,281024.0,Louisville,Alabama,Start
104864,"Lowndesboro, Alabama",1166206408,281360.0,Lowndesboro,Alabama,C
99892,"Loxley, Alabama",1170361974,281012.0,Loxley,Alabama,C
104613,"Luverne, Alabama",1173068585,281139.0,Luverne,Alabama,C
105191,"Lynn, Alabama",1166206561,281520.0,Lynn,Alabama,Start
104856,"Madison, Alabama",1177703025,281354.0,Madison,Alabama,C
104741,"Madrid, Alabama",1166206649,281255.0,Madrid,Alabama,C
4373372,"Magnolia Springs, Alabama",1166206656,11812014.0,Magnolia Springs,Alabama,GA
104717,"Malvern, Alabama",1166206718,281232.0,Malvern,Alabama,C
104559,"Maplesville, Alabama",1166206829,281085.0,Maplesville,Alabama,C
105127,"Margaret, Alabama",1165892174,281459.0,Margaret,Alabama,C
105084,"Marion, Alabama",1165892206,281422.0,Marion,Alabama,GA
104795,"Maytown, Alabama",1166207284,281301.0,Maytown,Alabama,Start
105179,"McIntosh, Alabama",1176350576,281509.0,McIntosh,Alabama,C
101171,"McKenzie, Alabama",1166207344,281052.0,McKenzie,Alabama,Start
105091,"McMullen, Alabama",1166207363,281429.0,McMullen,Alabama,Start
105092,"Memphis, Alabama",1166207484,281430.0,Memphis,Alabama,Start
104668,"Mentone, Alabama",1166207510,281183.0,Mentone,Alabama,GA
104798,"Midfield, Alabama",1165893352,281303.0,Midfield,Alabama,C
104637,"Midland City, Alabama",1166207749,281166.0,Midland City,Alabama,C
101166,"Midway, Alabama",1158753496,281048.0,Midway,Alabama,C
106407,"Millbrook, Alabama",1178021676,281004.0,Millbrook,Alabama,C
104824,"Millport, Alabama",1166207935,281323.0,Millport,Alabama,C
105180,"Millry, Alabama",1166207936,281510.0,Millry,Alabama,Start
20952,"Mobile, Alabama",1178152366,281401.0,Mobile,Alabama,GA
104926,"Monroeville, Alabama",1172371452,281411.0,Monroeville,Alabama,C
105119,"Montevallo, Alabama",1177552745,281452.0,Montevallo,Alabama,C
57690,"Montgomery, Alabama",1174537991,281413.0,Montgomery,Alabama,GA
105128,"Moody, Alabama",1179508395,281460.0,Moody,Alabama,C
104857,"Mooresville, Alabama",1169255573,281355.0,Mooresville,Alabama,C
104800,"Morris, Alabama",1177624137,281305.0,Morris,Alabama,C
104865,"Mosses, Alabama",1175025748,281361.0,Mosses,Alabama,C
104841,"Moulton, Alabama",1165894467,281339.0,Moulton,Alabama,C
104728,"Moundville, Alabama",1166208667,281242.0,Moundville,Alabama,C
104917,"Mount Vernon, Alabama",1166208775,281402.0,Mount Vernon,Alabama,GA
104803,"Mountain Brook, Alabama",1172621297,281307.0,Mountain Brook,Alabama,C
104804,"Mulga, Alabama",1157496931,281308.0,Mulga,Alabama,Start
105147,"Munford, Alabama",1178871326,281478.0,Munford,Alabama,C
104587,"Muscle Shoals, Alabama",1178909921,281113.0,Muscle Shoals,Alabama,C
104887,"Myrtlewood, Alabama",1166208882,281380.0,Myrtlewood,Alabama,GA
104638,"Napier Field, Alabama",1166208894,281168.0,Napier Field,Alabama,Start
105193,"Natural Bridge, Alabama",1166208941,281521.0,Natural Bridge,Alabama,C
105174,"Nauvoo, Alabama",1096820857,281504.0,Nauvoo,Alabama,C
101159,"Nectar, Alabama",1166208963,281040.0,Nectar,Alabama,Start
104564,"Needham, Alabama",1166208968,281091.0,Needham,Alabama,Start
104583,"New Brockton, Alabama",1166209021,281109.0,New Brockton,Alabama,C
104875,"New Hope, Alabama",1165895256,281371.0,New Hope,Alabama,C
105159,"New Site, Alabama",1166209336,281490.0,New Site,Alabama,Start
104729,"Newbern, Alabama",1176337691,281243.0,Newbern,Alabama,GA
104639,"Newton, Alabama",1166209571,281169.0,Newton,Alabama,C
104733,"Newville, Alabama",1177928995,281247.0,Newville,Alabama,C
104842,"North Courtland, Alabama",1166209704,281340.0,North Courtland,Alabama,Start
104805,"North Johns, Alabama",1166209738,281309.0,North Johns,Alabama,Start
105166,"Northport, Alabama",1167817987,281496.0,Northport,Alabama,C
104846,"Notasulga, Alabama",1175854552,281344.0,Notasulga,Alabama,C
105148,"Oak Grove, Alabama",1124809704,281479.0,Oak Grove,Alabama,C
105183,"Oak Hill, Alabama",1166209958,281512.0,Oak Hill,Alabama,C
105175,"Oakman, Alabama",1174954255,281505.0,Oakman,Alabama,Start
105129,"Odenville, Alabama",1166210198,281461.0,Odenville,Alabama,C
103739,"Ohatchee, Alabama",1166210252,281060.0,Ohatchee,Alabama,C
101160,"Oneonta, Alabama",1166092446,281041.0,Oneonta,Alabama,C
104604,"Onycha, Alabama",1166210466,281130.0,Onycha,Alabama,Start
104847,"Opelika, Alabama",1165896665,281345.0,Opelika,Alabama,C
104605,"Opp, Alabama",1165896683,281132.0,Opp,Alabama,C
99893,"Orange Beach, Alabama",1172898965,281013.0,Orange Beach,Alabama,C
104657,"Orrville, Alabama",1175606582,281172.0,Orrville,Alabama,C
104878,"Owens Cross Roads, Alabama",1172849762,281373.0,Owens Cross Roads,Alabama,C
103740,"Oxford, Alabama",1165896955,281061.0,Oxford,Alabama,C
104653,"Ozark, Alabama",1175658038,281170.0,Ozark,Alabama,C
104752,"Paint Rock, Alabama",1166210847,281264.0,Paint Rock,Alabama,C
105176,"Parrish, Alabama",1166210982,281506.0,Parrish,Alabama,C
105121,"Pelham, Alabama",1174024956,281453.0,Pelham,Alabama,C
105130,"Pell City, Alabama",1171029165,281462.0,Pell City,Alabama,C
104565,"Pennington, Alabama",1135170013,281092.0,Pennington,Alabama,C
22517014,"Perdido Beach, Alabama",1166211174,23240835.0,Perdido Beach,Alabama,Start
104614,"Petrey, Alabama",1096817791,281140.0,Petrey,Alabama,C
104848,"Phenix City, Alabama",1160284984,281346.0,Phenix City,Alabama,C
104708,"Phil Campbell, Alabama",1176609767,281224.0,Phil Campbell,Alabama,C
105093,"Pickensville, Alabama",1166211277,281431.0,Pickensville,Alabama,C
103741,"Piedmont, Alabama",1174026676,281062.0,Piedmont,Alabama,C
104928,"Pike Road, Alabama",1170574167,281414.0,Pike Road,Alabama,C
104654,"Pinckard, Alabama",1166211323,281171.0,Pinckard,Alabama,Start
105184,"Pine Apple, Alabama",1166211355,281513.0,Pine Apple,Alabama,C
105186,"Pine Hill, Alabama",1166211367,281515.0,Pine Hill,Alabama,Start
104669,"Pine Ridge, Alabama",1166211388,281184.0,Pine Ridge,Alabama,Start
104806,"Pinson, Alabama",1178582292,281310.0,Pinson,Alabama,C
104753,"Pisgah, Alabama",1166211442,281265.0,Pisgah,Alabama,C
104807,"Pleasant Grove, Alabama",1177636010,281311.0,Pleasant Grove,Alabama,C
104754,"Pleasant Groves, Alabama",1166229073,281266.0,Pleasant Groves,Alabama,Start
104686,"Pollard, Alabama",1166229176,281201.0,Pollard,Alabama,Start
104670,"Powell, Alabama",1166229333,281185.0,Powell,Alabama,C
99885,"Prattville, Alabama",1167939343,281005.0,Prattville,Alabama,C
105081,"Priceville, Alabama",1166229409,281419.0,Priceville,Alabama,C
104918,"Prichard, Alabama",1176865405,281403.0,Prichard,Alabama,C
104888,"Providence, Alabama",1166229472,281381.0,Providence,Alabama,Start
105131,"Ragland, Alabama",1166229540,281463.0,Ragland,Alabama,C
104694,"Rainbow City, Alabama",1158827266,281210.0,Rainbow City,Alabama,GA
104671,"Rainsville, Alabama",1171084402,281186.0,Rainsville,Alabama,C
104579,"Ranburne, Alabama",1166229569,281105.0,Ranburne,Alabama,C
104709,"Red Bay, Alabama",1169333757,281225.0,Red Bay,Alabama,C
104606,"Red Level, Alabama",1166229671,281133.0,Red Level,Alabama,C
104695,"Reece City, Alabama",1166229699,281211.0,Reece City,Alabama,Start
105094,"Reform, Alabama",1165899409,281432.0,Reform,Alabama,C
104742,"Rehobeth, Alabama",1172196089,281256.0,Rehobeth,Alabama,C
104592,"Repton, Alabama",1166229759,281118.0,Repton,Alabama,Start
104696,"Ridgeville, Alabama",1166229906,281212.0,Ridgeville,Alabama,Start
104607,"River Falls, Alabama",1166230019,281134.0,River Falls,Alabama,C
105132,"Riverside, Alabama",1166230024,281464.0,Riverside,Alabama,C
104687,"Riverview, Alabama",1166230040,281202.0,Riverview,Alabama,Start
105101,"Roanoke, Alabama",1165899878,281437.0,Roanoke,Alabama,C
99895,"Robertsdale, Alabama",1166314424,281016.0,Robertsdale,Alabama,C
104594,"Rockford, Alabama",1169199856,281120.0,Rockford,Alabama,GA
104833,"Rogersville, Alabama",1166230187,281330.0,Rogersville,Alabama,C
101161,"Rosa, Alabama",1166230264,281042.0,Rosa,Alabama,Start
104710,"Russellville, Alabama",1165900503,281226.0,Russellville,Alabama,GA
104616,"Rutledge, Alabama",1166230534,281141.0,Rutledge,Alabama,Start
